=== player 1: 1 | player 2: 0 | Draws: 0 ===
=== player 1: 2 | player 2: 0 | Draws: 0 ===
=== player 1: 3 | player 2: 0 | Draws: 0 ===
=== player 1: 4 | player 2: 0 | Draws: 0 ===
=== player 1: 5 | player 2: 0 | Draws: 0 ===
=== player 1: 6 | player 2: 0 | Draws: 0 ===
=== player 1: 7 | player 2: 0 | Draws: 0 ===
=== player 1: 8 | player 2: 0 | Draws: 0 ===
=== player 1: 9 | player 2: 0 | Draws: 0 ===
=== player 1: 9 | player 2: 1 | Draws: 0 ===
=== player 1: 10 | player 2: 1 | Draws: 0 ===
=== player 1: 11 | player 2: 1 | Draws: 0 ===
=== player 1: 12 | player 2: 1 | Draws: 0 ===
=== player 1: 13 | player 2: 1 | Draws: 0 ===
=== player 1: 14 | player 2: 1 | Draws: 0 ===
=== player 1: 15 | player 2: 1 | Draws: 0 ===
=== player 1: 16 | player 2: 1 | Draws: 0 ===
=== player 1: 17 | player 2: 1 | Draws: 0 ===
=== player 1: 18 | player 2: 1 | Draws: 0 ===
=== player 1: 19 | player 2: 1 | Draws: 0 ===
=== player 1: 20 | player 2: 1 | Draws: 0 ===
=== player 1: 21 | player 2: 1 | Draws: 0 ===
=== player 1: 22 | player 2: 1 | Draws: 0 ===
=== player 1: 23 | player 2: 1 | Draws: 0 ===
=== player 1: 24 | player 2: 1 | Draws: 0 ===
=== player 1: 24 | player 2: 2 | Draws: 0 ===
=== player 1: 25 | player 2: 2 | Draws: 0 ===
=== player 1: 26 | player 2: 2 | Draws: 0 ===
=== player 1: 27 | player 2: 2 | Draws: 0 ===
=== player 1: 28 | player 2: 2 | Draws: 0 ===
=== player 1: 29 | player 2: 2 | Draws: 0 ===
=== player 1: 30 | player 2: 2 | Draws: 0 ===
=== player 1: 31 | player 2: 2 | Draws: 0 ===
=== player 1: 32 | player 2: 2 | Draws: 0 ===
=== player 1: 33 | player 2: 2 | Draws: 0 ===
=== player 1: 34 | player 2: 2 | Draws: 0 ===
=== player 1: 35 | player 2: 2 | Draws: 0 ===
=== player 1: 36 | player 2: 2 | Draws: 0 ===
=== player 1: 37 | player 2: 2 | Draws: 0 ===
=== player 1: 38 | player 2: 2 | Draws: 0 ===
=== player 1: 39 | player 2: 2 | Draws: 0 ===
=== player 1: 40 | player 2: 2 | Draws: 0 ===
=== player 1: 41 | player 2: 2 | Draws: 0 ===
=== player 1: 42 | player 2: 2 | Draws: 0 ===
=== player 1: 43 | player 2: 2 | Draws: 0 ===
=== player 1: 44 | player 2: 2 | Draws: 0 ===
=== player 1: 45 | player 2: 2 | Draws: 0 ===
=== player 1: 46 | player 2: 2 | Draws: 0 ===
=== player 1: 47 | player 2: 2 | Draws: 0 ===
=== player 1: 48 | player 2: 2 | Draws: 0 ===
=== player 1: 49 | player 2: 2 | Draws: 0 ===
=== player 1: 50 | player 2: 2 | Draws: 0 ===
=== player 1: 51 | player 2: 2 | Draws: 0 ===
=== player 1: 52 | player 2: 2 | Draws: 0 ===
=== player 1: 53 | player 2: 2 | Draws: 0 ===
=== player 1: 54 | player 2: 2 | Draws: 0 ===
=== player 1: 54 | player 2: 3 | Draws: 0 ===
=== player 1: 55 | player 2: 3 | Draws: 0 ===
=== player 1: 56 | player 2: 3 | Draws: 0 ===
=== player 1: 57 | player 2: 3 | Draws: 0 ===
=== player 1: 58 | player 2: 3 | Draws: 0 ===
=== player 1: 59 | player 2: 3 | Draws: 0 ===
=== player 1: 60 | player 2: 3 | Draws: 0 ===
=== player 1: 61 | player 2: 3 | Draws: 0 ===
=== player 1: 62 | player 2: 3 | Draws: 0 ===
=== player 1: 63 | player 2: 3 | Draws: 0 ===
